OrderDetailID,OrderID,ProductID,Quantity,Discount
OD00074,O0026,P003,1,10
OD00075,O0027,P031,1,20
OD00076,O0027,P046,3,10
OD00077,O0028,P003,3,10
OD00078,O0028,P039,1,20
OD00079,O0028,P049,4,5
OD00080,O0029,P007,2,15
OD00081,O0029,P018,4,15
OD00082,O0029,P025,3,0
OD00083,O0030,P027,3,10
OD00084,O0030,P032,4,5
OD00085,O0030,P009,1,10
OD00086,O0030,P001,2,10
OD00087,O0030,P010,4,15
OD00088,O0031,P002,4,20
OD00089,O0031,P029,5,15
OD00090,O0031,P038,3,20
OD00091,O0031,P039,4,5
OD00092,O0032,P047,5,10
OD00093,O0032,P043,2,5
OD00094,O0032,P041,4,15
OD00095,O0033,P008,1,10
OD00096,O0033,P031,3,10
OD00097,O0034,P034,2,15
OD00098,O0034,P022,3,5
OD00099,O0034,P035,3,20
OD00100,O0034,P032,2,5
OD00101,O0035,P049,1,10
OD00102,O0035,P045,2,10
OD00103,O0035,P023,4,5
OD00104,O0035,P046,1,0
OD00105,O0035,P048,3,15
OD00106,O0036,P004,4,10
OD00107,O0037,P028,3,10
OD00108,O0037,P029,1,10
OD00109,O0037,P033,5,15
OD00110,O0038,P002,1,10
OD00111,O0038,P048,1,15
OD00112,O0038,P046,4,20
OD00113,O0038,P016,4,0
OD00114,O0039,P002,1,5
OD00115,O0039,P013,2,15
OD00116,O0039,P011,1,0
OD00117,O0039,P039,1,10
OD00118,O0040,P007,3,0
OD00119,O0040,P015,3,15
OD00120,O0040,P034,1,20
OD00121,O0040,P018,3,15
OD00122,O0041,P046,1,15
OD00123,O0041,P035,1,0
OD00124,O0041,P040,5,15
OD00125,O0041,P011,3,0
OD00126,O0041,P013,4,10
OD00127,O0042,P027,4,15
OD00128,O0042,P044,4,5
OD00129,O0042,P037,3,0
OD00130,O0043,P003,3,0
OD00131,O0043,P029,4,5
OD00132,O0043,P002,3,5
OD00133,O0043,P030,2,10
OD00134,O0044,P014,2,10
OD00135,O0044,P030,5,10
OD00136,O0045,P013,1,15
OD00137,O0045,P008,1,20
OD00138,O0045,P018,2,20
OD00139,O0045,P004,2,0
OD00140,O0045,P021,1,0
OD00141,O0046,P049,5,5
OD00142,O0047,P047,4,15
OD00143,O0047,P029,4,20
OD00144,O0047,P007,5,20
OD00145,O0047,P044,1,10
OD00146,O0048,P029,4,5
OD00147,O0049,P041,1,0
OD00148,O0049,P014,2,10
OD00149,O0049,P034,4,20
OD00150,O0049,P012,1,10
OD00151,O0049,P007,3,10
OD00152,O0050,P041,4,15
OD00153,O0050,P049,2,0
OD00154,O0050,P033,2,10
OD00155,O0050,P003,2,15
OD00156,O0051,P007,5,0
OD00157,O0051,P021,3,20
OD00158,O0051,P015,4,20
OD00159,O0051,P011,5,5
OD00160,O0051,P001,1,15
OD00161,O0052,P020,1,5
OD00162,O0052,P038,4,10
OD00163,O0052,P039,4,0
OD00164,O0052,P022,4,10
OD00165,O0053,P014,4,20
OD00166,O0053,P029,2,10
OD00167,O0054,P038,5,0
OD00168,O0054,P035,3,10
OD00169,O0054,P039,4,0
OD00170,O0054,P015,1,5
OD00171,O0055,P049,4,5
OD00172,O0056,P049,2,0
OD00173,O0056,P018,2,0
OD00174,O0056,P008,4,20
OD00175,O0057,P030,3,5
OD00176,O0057,P021,1,10
OD00177,O0058,P028,3,20
OD00178,O0058,P048,5,20
OD00179,O0058,P011,3,20
OD00180,O0058,P026,4,20
OD00181,O0059,P043,5,10
OD00182,O0060,P008,3,5
OD00183,O0060,P001,5,10
OD00184,O0060,P033,1,20
OD00185,O0060,P046,5,10
OD00186,O0060,P012,4,20
OD00187,O0061,P001,3,20
OD00188,O0061,P007,5,20
OD00189,O0061,P047,5,0
OD00190,O0061,P026,3,20
OD00191,O0062,P048,2,20
OD00192,O0062,P019,3,20
OD00193,O0062,P026,5,0
OD00194,O0062,P001,2,0
OD00195,O0063,P009,1,10
OD00196,O0063,P049,4,10
OD00197,O0063,P048,5,5
OD00198,O0063,P017,1,5
OD00199,O0063,P020,2,0
OD00200,O0064,P024,5,15
OD00201,O0064,P042,3,10
OD00202,O0064,P021,1,5
OD00203,O0065,P004,2,15
OD00204,O0065,P003,4,0
OD00205,O0065,P021,1,0
OD00206,O0065,P044,3,10
OD00207,O0066,P042,1,5
OD00208,O0066,P016,2,10
OD00209,O0066,P019,3,0
OD00210,O0066,P029,1,5
OD00211,O0066,P011,4,15
OD00212,O0067,P017,5,0
OD00213,O0067,P016,4,0
OD00214,O0067,P019,1,10
OD00215,O0067,P046,4,5
OD00216,O0068,P039,1,10
OD00217,O0069,P002,1,0
OD00218,O0069,P004,5,5
OD00219,O0069,P022,3,20
OD00220,O0069,P041,5,10
OD00221,O0070,P010,2,10
OD00222,O0071,P037,3,15
OD00223,O0072,P011,2,0
OD00224,O0072,P028,1,20
OD00225,O0073,P004,2,0
OD00226,O0073,P023,3,5
OD00227,O0073,P047,2,5
OD00228,O0073,P024,3,10
OD00229,O0074,P047,5,0
OD00230,O0074,P028,3,20
OD00231,O0074,P031,1,15
OD00232,O0074,P041,5,10
OD00233,O0074,P037,4,20
OD00234,O0075,P049,3,20
OD00235,O0075,P048,1,10
OD00236,O0075,P002,5,5
OD00237,O0075,P047,2,20
OD00238,O0075,P014,5,5
OD00239,O0076,P010,3,10
OD00240,O0076,P021,3,20
OD00241,O0076,P002,1,5
OD00242,O0076,P048,5,0
OD00243,O0076,P028,5,10
OD00244,O0077,P034,4,10
OD00245,O0078,P016,5,20
OD00246,O0078,P027,3,0
OD00247,O0078,P026,3,10
OD00248,O0078,P001,4,5
OD00249,O0079,P033,2,15
OD00250,O0079,P008,1,0
OD00251,O0079,P009,3,5
OD00252,O0079,P020,5,0
OD00253,O0079,P045,1,5
OD00254,O0080,P021,4,0
OD00255,O0080,P001,4,5
OD00256,O0080,P042,2,5
OD00257,O0080,P017,3,20
OD00258,O0080,P040,3,10
OD00259,O0081,P015,3,15
OD00260,O0082,P013,2,5
OD00261,O0083,P009,1,5
OD00262,O0083,P023,3,10
OD00263,O0083,P033,1,5
OD00264,O0083,P014,3,20
OD00265,O0084,P032,1,15
OD00266,O0084,P034,3,10
OD00267,O0085,P013,4,0
OD00268,O0085,P027,3,0
OD00269,O0085,P016,2,10
OD00270,O0086,P014,2,0
OD00271,O0086,P032,3,0
OD00272,O0086,P012,4,20
OD00273,O0087,P026,2,15
OD00274,O0087,P019,2,20
OD00275,O0087,P045,5,0
OD00276,O0088,P038,2,15
OD00277,O0089,P014,4,15
OD00278,O0089,P015,4,15
OD00279,O0089,P025,5,0
OD00280,O0090,P019,3,20
OD00281,O0090,P005,5,0
OD00282,O0090,P026,1,20
OD00283,O0090,P033,1,0
OD00284,O0091,P017,1,5
OD00285,O0091,P025,3,20
OD00286,O0091,P050,1,10
OD00287,O0091,P043,3,10
OD00288,O0091,P034,3,0
OD00289,O0092,P021,1,15
OD00290,O0092,P043,5,0
OD00291,O0092,P006,4,15
OD00292,O0092,P018,2,10
OD00293,O0092,P034,3,20
OD00294,O0093,P014,1,20
OD00295,O0093,P046,3,20
OD00296,O0093,P024,2,0
OD00297,O0094,P050,3,20
OD00298,O0094,P016,5,0
OD00299,O0095,P021,5,20
OD00300,O0096,P006,1,5
OD00301,O0096,P031,1,20
OD00302,O0096,P015,5,15
OD00303,O0096,P035,1,20
OD00304,O0097,P007,1,5
OD00305,O0098,P032,1,0
OD00306,O0098,P021,4,0
OD00307,O0098,P030,4,15
OD00308,O0099,P025,3,5
OD00309,O0100,P018,4,20
OD00310,O0100,P045,3,20
OD00311,O0100,P009,2,15
OD00312,O0101,P045,5,20
OD00313,O0101,P037,3,20
OD00314,O0102,P046,5,0
OD00315,O0103,P048,3,5
OD00316,O0103,P022,1,15
OD00317,O0103,P025,5,15
OD00318,O0103,P010,1,15
OD00319,O0104,P027,2,0
OD00320,O0104,P050,4,15
OD00321,O0104,P032,1,15
OD00322,O0105,P020,3,15
OD00323,O0105,P024,5,10
OD00324,O0106,P042,5,20
OD00325,O0106,P009,3,0
OD00326,O0106,P017,1,10
OD00327,O0107,P015,5,15
OD00328,O0107,P008,2,20
OD00329,O0107,P010,5,10
OD00330,O0107,P005,2,5
OD00331,O0108,P039,3,0
OD00332,O0108,P018,2,0
OD00333,O0108,P048,5,15
OD00334,O0108,P021,1,5
OD00335,O0108,P038,4,20
OD00336,O0109,P006,5,20
OD00337,O0109,P045,1,15
OD00338,O0109,P032,5,10
OD00339,O0109,P012,4,20
OD00340,O0109,P038,2,0
OD00341,O0110,P015,3,5
OD00342,O0110,P044,5,20
OD00343,O0110,P036,2,5
OD00344,O0110,P049,1,15
OD00345,O0110,P023,1,10
OD00346,O0111,P014,2,20
OD00347,O0111,P038,4,15
OD00348,O0111,P034,5,15
OD00349,O0111,P037,5,10
OD00350,O0112,P049,2,20
OD00351,O0112,P026,5,15
OD00352,O0112,P006,2,10
OD00353,O0112,P031,3,5
OD00354,O0112,P016,1,15
OD00355,O0113,P023,4,20
OD00356,O0114,P037,1,5
OD00357,O0114,P018,2,0
OD00358,O0114,P036,1,20
OD00359,O0114,P040,2,20
OD00360,O0115,P015,5,20
OD00361,O0115,P001,5,0
OD00362,O0115,P005,5,0
OD00363,O0115,P042,4,15
OD00364,O0116,P015,1,15
OD00365,O0116,P035,2,5
OD00366,O0116,P001,5,15
OD00367,O0116,P006,3,0
OD00368,O0116,P043,1,10
OD00369,O0117,P010,5,20
OD00370,O0117,P050,3,20
OD00371,O0117,P037,4,10
OD00372,O0117,P035,4,5
OD00373,O0117,P028,2,0
OD00374,O0118,P037,5,5
OD00375,O0118,P012,4,15
OD00376,O0119,P040,2,15
OD00377,O0120,P013,5,20
OD00378,O0120,P029,4,0
OD00379,O0120,P001,2,10
OD00380,O0120,P035,4,0
OD00381,O0121,P016,2,10
OD00382,O0121,P049,4,10
OD00383,O0122,P015,1,5
OD00384,O0122,P005,2,0
OD00385,O0123,P006,2,20
OD00386,O0123,P032,3,0
OD00387,O0123,P049,4,10
OD00388,O0123,P028,5,0
OD00389,O0124,P040,5,5
OD00390,O0124,P045,1,0
OD00391,O0124,P034,4,5
OD00392,O0124,P049,3,20
OD00393,O0124,P046,3,15
OD00394,O0125,P031,2,5
OD00395,O0125,P005,4,0
OD00396,O0125,P009,3,15
OD00397,O0126,P033,4,0
OD00398,O0126,P027,4,15
OD00399,O0127,P010,4,5
OD00400,O0127,P048,3,20
OD00401,O0127,P037,5,0
OD00402,O0127,P024,5,5
OD00403,O0127,P040,2,20
OD00404,O0128,P010,4,5
OD00405,O0128,P024,4,10
OD00406,O0128,P014,5,0
OD00407,O0128,P005,1,5
OD00408,O0129,P004,5,15
OD00409,O0129,P010,1,20
OD00410,O0129,P050,4,5
OD00411,O0129,P038,3,15
OD00412,O0129,P015,2,20
OD00413,O0130,P010,4,20
OD00414,O0130,P026,4,0
OD00415,O0131,P015,5,20
OD00416,O0132,P030,2,5
OD00417,O0132,P048,3,20
OD00418,O0132,P027,5,0
OD00419,O0132,P049,4,20
OD00420,O0132,P024,5,5
OD00421,O0133,P047,3,10
OD00422,O0133,P022,3,15
OD00423,O0133,P024,1,5
OD00424,O0134,P020,3,20
OD00425,O0135,P035,4,15
OD00426,O0135,P024,2,20
OD00427,O0135,P031,5,20
OD00428,O0135,P030,4,20
OD00429,O0135,P012,5,10
OD00430,O0136,P004,4,15
OD00431,O0136,P021,5,20
OD00432,O0136,P037,4,15
OD00433,O0136,P032,1,5
OD00434,O0136,P040,1,20
OD00435,O0137,P041,5,20
OD00436,O0137,P017,4,0
OD00437,O0137,P022,1,10
OD00438,O0137,P018,4,5
OD00439,O0137,P033,3,5
OD00440,O0138,P022,3,20
OD00441,O0139,P007,3,10
OD00442,O0139,P040,5,15
OD00443,O0140,P047,1,0
OD00444,O0140,P012,2,0
OD00445,O0140,P034,2,5
OD00446,O0140,P025,3,0
OD00447,O0141,P022,4,0
OD00448,O0142,P023,3,15
OD00449,O0142,P012,5,20
OD00450,O0142,P041,4,15
OD00451,O0142,P038,4,15
OD00452,O0142,P018,5,20
OD00453,O0143,P032,2,20
OD00454,O0143,P001,4,5
OD00455,O0143,P045,2,10
OD00456,O0143,P013,5,20
OD00457,O0143,P047,5,0
OD00458,O0144,P024,4,10
OD00459,O0145,P037,5,5
OD00460,O0146,P010,2,15
OD00461,O0146,P002,4,0
OD00462,O0146,P020,2,15
OD00463,O0147,P039,1,5
OD00464,O0147,P038,4,0
OD00465,O0147,P001,5,0
OD00466,O0148,P023,1,0
OD00467,O0148,P050,4,15
OD00468,O0148,P048,2,20
OD00469,O0148,P042,5,20
OD00470,O0148,P025,2,5
OD00471,O0149,P050,3,15
OD00472,O0149,P043,1,20
OD00473,O0149,P047,4,10
OD00474,O0149,P002,5,20
OD00475,O0149,P015,1,5
OD00476,O0150,P012,3,15
OD00477,O0150,P034,5,10
OD00478,O0150,P040,5,20
OD00479,O0150,P021,5,15
OD00480,O0150,P013,4,20
OD00481,O0151,P033,5,15
OD00482,O0151,P022,4,0
OD00483,O0151,P039,1,10
OD00484,O0152,P039,2,10
OD00485,O0152,P001,1,20
OD00486,O0153,P043,2,15
OD00487,O0153,P039,2,20
OD00488,O0154,P033,1,15
OD00489,O0155,P043,3,10
OD00490,O0155,P034,1,15
OD00491,O0155,P002,4,0
OD00492,O0155,P009,5,15
OD00493,O0156,P020,4,5
OD00494,O0156,P035,1,0
OD00495,O0156,P011,1,20
OD00496,O0156,P039,1,5
OD00497,O0157,P009,2,0
OD00498,O0158,P026,3,10
OD00499,O0159,P011,4,15
OD00500,O0159,P048,2,15
OD00501,O0159,P008,4,0
OD00502,O0159,P013,3,0
OD00503,O0160,P029,5,20
OD00504,O0160,P017,5,0
OD00505,O0161,P021,1,10
OD00506,O0161,P031,2,10
OD00507,O0161,P039,4,5
OD00508,O0162,P035,4,15
OD00509,O0162,P050,1,15
OD00510,O0163,P018,5,5
OD00511,O0163,P023,1,20
OD00512,O0163,P005,1,20
OD00513,O0163,P022,5,10
OD00514,O0163,P045,3,10
OD00515,O0164,P023,1,15
OD00516,O0164,P045,2,0
OD00517,O0164,P048,4,10
OD00518,O0164,P007,5,5
OD00519,O0164,P027,2,15
OD00520,O0165,P046,3,5
OD00521,O0165,P030,2,20
OD00522,O0165,P043,4,15
OD00523,O0165,P031,3,20
OD00524,O0165,P049,2,5
OD00525,O0166,P019,4,20
OD00526,O0166,P029,3,20
OD00527,O0167,P017,4,0
OD00528,O0168,P012,2,15
OD00529,O0168,P025,4,0
OD00530,O0168,P015,1,10
OD00531,O0168,P027,5,0
OD00532,O0169,P020,4,10
OD00533,O0169,P007,2,15
OD00534,O0170,P039,2,5
OD00535,O0170,P047,3,10
OD00536,O0171,P001,3,5
OD00537,O0171,P015,4,5
OD00538,O0172,P013,3,15
OD00539,O0172,P003,2,20
OD00540,O0173,P015,5,0
OD00541,O0173,P036,2,10
OD00542,O0174,P020,3,15
OD00543,O0174,P013,5,20
OD00544,O0174,P026,4,0
OD00545,O0175,P026,5,5
OD00546,O0175,P006,2,0
OD00547,O0175,P025,2,10
OD00548,O0175,P030,3,20
OD00549,O0176,P033,5,0
OD00550,O0176,P009,1,20
OD00551,O0176,P034,5,20
OD00552,O0176,P032,5,10
OD00553,O0177,P023,4,15
OD00554,O0177,P017,3,20
OD00555,O0177,P037,1,5
OD00556,O0177,P015,1,20
OD00557,O0178,P002,3,20
OD00558,O0178,P032,2,10
OD00559,O0178,P018,2,0
OD00560,O0178,P013,3,0
OD00561,O0178,P049,1,10
OD00562,O0179,P020,2,0
OD00563,O0179,P023,4,10
OD00564,O0180,P020,5,15
OD00565,O0180,P009,1,0
OD00566,O0181,P003,1,10
OD00567,O0181,P020,2,0
OD00568,O0182,P036,3,15
OD00569,O0182,P040,4,20
OD00570,O0182,P005,4,0
OD00571,O0182,P045,1,5
OD00572,O0182,P035,1,0
OD00573,O0183,P045,4,10
OD00574,O0183,P047,3,10
OD00575,O0184,P013,5,10
OD00576,O0185,P007,1,5
OD00577,O0185,P032,5,20
OD00578,O0185,P031,4,0
OD00579,O0185,P025,1,20
OD00580,O0186,P032,5,15
OD00581,O0186,P033,1,10
OD00582,O0186,P002,5,15
OD00583,O0186,P005,3,20
OD00584,O0186,P034,5,10
OD00585,O0187,P013,2,0
OD00586,O0187,P024,4,20
OD00587,O0187,P009,2,5
OD00588,O0187,P019,5,20
OD00589,O0187,P048,3,20
OD00590,O0188,P006,4,10
OD00591,O0188,P044,1,5
OD00592,O0188,P008,2,5
OD00593,O0188,P007,4,5
OD00594,O0189,P023,3,5
OD00595,O0189,P017,3,0
OD00596,O0189,P003,5,5
OD00597,O0189,P026,5,5
OD00598,O0190,P037,3,20
OD00599,O0190,P015,2,0
OD00600,O0190,P029,4,20
OD00601,O0190,P013,3,15
OD00602,O0190,P041,1,10
OD00603,O0191,P049,4,5
OD00604,O0192,P020,4,10
OD00605,O0192,P009,3,5
OD00606,O0192,P047,3,0
OD00607,O0192,P028,4,20
OD00608,O0192,P035,5,15
OD00609,O0193,P015,5,10
OD00610,O0193,P021,4,0
OD00611,O0193,P044,1,0
OD00612,O0194,P048,3,20
OD00613,O0194,P035,4,0
OD00614,O0194,P045,3,10
OD00615,O0194,P018,5,20
OD00616,O0194,P040,2,0
OD00617,O0195,P048,3,20
OD00618,O0195,P021,5,10
OD00619,O0195,P032,3,5
OD00620,O0196,P044,1,20
OD00621,O0197,P042,4,5
OD00622,O0197,P050,3,10
OD00623,O0197,P041,2,0
OD00624,O0197,P006,3,10
OD00625,O0197,P043,4,5
OD00626,O0198,P048,3,15
OD00627,O0198,P016,1,15
OD00628,O0198,P036,5,15
OD00629,O0198,P023,1,20
OD00630,O0199,P007,1,10
OD00631,O0199,P020,3,0
OD00632,O0199,P005,4,15
OD00633,O0199,P041,3,0
OD00634,O0200,P001,2,20
OD00635,O0200,P007,3,10
OD00636,O0200,P008,4,10
OD00637,O0200,P002,5,10
OD00638,O0201,P045,4,0
OD00639,O0201,P015,1,5
OD00640,O0201,P003,1,20
OD00641,O0202,P022,2,15
OD00642,O0202,P035,3,0
OD00643,O0202,P006,5,5
OD00644,O0202,P038,4,15
OD00645,O0202,P036,5,5
OD00646,O0203,P049,5,10
OD00647,O0204,P006,1,0
OD00648,O0204,P046,2,20
OD00649,O0204,P018,2,10
OD00650,O0204,P034,2,15
OD00651,O0204,P004,3,5
OD00652,O0205,P021,4,0
OD00653,O0205,P003,3,5
OD00654,O0205,P035,3,10
OD00655,O0205,P046,2,0
OD00656,O0205,P038,3,10
OD00657,O0206,P033,1,10
OD00658,O0206,P047,2,20
OD00659,O0207,P010,5,20
OD00660,O0207,P013,3,15
OD00661,O0207,P018,5,5
OD00662,O0208,P008,5,10
OD00663,O0208,P025,2,5
OD00664,O0209,P048,1,0
OD00665,O0210,P014,1,0
OD00666,O0211,P026,3,5
OD00667,O0212,P010,2,15
OD00668,O0212,P020,2,0
OD00669,O0212,P021,3,20
OD00670,O0212,P050,4,15
OD00671,O0213,P039,5,15
OD00672,O0213,P046,5,0
OD00673,O0213,P048,4,10
OD00674,O0213,P040,3,15
OD00675,O0213,P030,5,20
OD00676,O0214,P023,4,20
OD00677,O0214,P013,2,10
OD00678,O0215,P040,1,15
OD00679,O0215,P030,2,20
OD00680,O0215,P003,4,5
OD00681,O0216,P032,2,10
OD00682,O0216,P037,1,20
OD00683,O0216,P006,1,5
OD00684,O0216,P007,1,5
OD00685,O0216,P031,1,5
OD00686,O0217,P037,4,15
OD00687,O0218,P043,4,5
OD00688,O0218,P039,1,15
OD00689,O0218,P029,3,15
OD00690,O0218,P016,5,0
OD00691,O0218,P017,4,10
OD00692,O0219,P049,3,20
OD00693,O0219,P013,2,20
OD00694,O0220,P035,3,15
OD00695,O0220,P007,4,15
OD00696,O0221,P048,2,5
OD00697,O0221,P012,3,5
OD00698,O0221,P025,5,5
OD00699,O0221,P028,4,10
OD00700,O0222,P016,1,10
OD00701,O0223,P012,3,20
OD00702,O0223,P035,2,0
OD00703,O0223,P017,4,0
OD00704,O0223,P048,1,0
OD00705,O0224,P034,2,20
OD00706,O0224,P001,2,10
OD00707,O0224,P019,4,0
OD00708,O0224,P014,2,20
OD00709,O0225,P049,3,20
OD00710,O0225,P025,5,15
OD00711,O0226,P039,2,5
OD00712,O0226,P005,2,10
OD00713,O0227,P041,2,15
OD00714,O0227,P021,2,5
OD00715,O0227,P001,5,0
OD00716,O0227,P010,1,10
OD00717,O0228,P021,5,15
OD00718,O0228,P032,3,0
OD00719,O0228,P016,2,15
OD00720,O0229,P015,3,5
OD00721,O0229,P022,4,10
OD00722,O0229,P048,2,5
OD00723,O0229,P032,1,0
OD00724,O0230,P033,1,5
OD00725,O0230,P019,3,10
OD00726,O0230,P018,5,0
OD00727,O0230,P034,4,5
OD00728,O0230,P014,3,0
OD00729,O0231,P046,5,15
OD00730,O0231,P016,2,10
OD00731,O0232,P023,5,0
OD00732,O0233,P034,4,5
OD00733,O0233,P001,1,15
OD00734,O0233,P014,4,15
OD00735,O0234,P027,5,0
OD00736,O0234,P016,5,20
OD00737,O0235,P013,4,0
OD00738,O0235,P011,3,15
OD00739,O0235,P033,1,15
OD00740,O0236,P039,1,10
OD00741,O0237,P048,4,20
OD00742,O0237,P035,5,20
OD00743,O0237,P018,2,20
OD00744,O0237,P012,5,0
OD00745,O0237,P001,5,15
OD00746,O0238,P049,2,15
OD00747,O0238,P050,2,5
OD00748,O0238,P007,1,20
OD00749,O0238,P037,1,20
OD00750,O0239,P027,1,0
OD00751,O0239,P026,2,20
OD00752,O0239,P050,5,20
OD00753,O0239,P028,1,5
OD00754,O0240,P026,3,10
OD00755,O0240,P018,3,5
OD00756,O0241,P044,4,0
OD00757,O0241,P023,4,10
OD00758,O0241,P005,4,5
OD00759,O0241,P050,2,15
OD00760,O0242,P005,2,5
OD00761,O0243,P011,3,5
OD00762,O0243,P004,1,20
OD00763,O0243,P030,2,15
OD00764,O0243,P010,2,10
OD00765,O0244,P040,2,5
OD00766,O0244,P029,4,0
OD00767,O0244,P015,4,10
OD00768,O0245,P033,5,15
OD00769,O0246,P040,1,0
OD00770,O0246,P035,4,20
OD00771,O0246,P036,5,10
OD00772,O0246,P013,4,5
OD00773,O0246,P014,3,5
OD00774,O0247,P005,3,15
OD00775,O0247,P029,4,5
OD00776,O0247,P041,5,0
OD00777,O0248,P019,2,15
OD00778,O0249,P014,3,5
OD00779,O0249,P017,4,0
OD00780,O0249,P044,4,20
OD00781,O0249,P027,1,15
OD00782,O0249,P037,5,5
OD00783,O0250,P029,4,15
OD00784,O0251,P006,1,5
OD00785,O0251,P001,1,5
OD00786,O0251,P007,5,0
OD00787,O0252,P043,5,10
OD00788,O0252,P036,1,5
OD00789,O0252,P007,3,10
OD00790,O0252,P034,5,0
OD00791,O0253,P037,2,10
OD00792,O0253,P018,1,5
OD00793,O0254,P032,4,20
OD00794,O0254,P022,1,5
OD00795,O0254,P042,3,15
OD00796,O0255,P037,5,0
OD00797,O0255,P008,4,15
OD00798,O0255,P021,4,20
OD00799,O0255,P023,3,10
OD00800,O0255,P020,5,0
OD00801,O0256,P047,1,0
OD00802,O0256,P018,4,5
OD00803,O0256,P017,5,20
OD00804,O0256,P032,1,20
OD00805,O0257,P001,4,15
OD00806,O0257,P012,1,15
OD00807,O0258,P002,3,0
OD00808,O0258,P022,4,10
OD00809,O0258,P040,5,5
OD00810,O0259,P019,5,15
OD00811,O0259,P011,4,10
OD00812,O0260,P020,5,10
OD00813,O0261,P039,2,5
OD00814,O0262,P027,4,5
OD00815,O0262,P046,3,10
OD00816,O0262,P016,1,15
OD00817,O0262,P011,3,10
OD00818,O0263,P006,2,10
OD00819,O0263,P035,2,15
OD00820,O0263,P019,1,15
OD00821,O0263,P002,3,15
OD00822,O0264,P043,1,0
OD00823,O0264,P007,3,20
OD00824,O0265,P021,4,5
OD00825,O0266,P017,3,20
OD00826,O0266,P004,2,5
OD00827,O0267,P041,4,5
OD00828,O0267,P031,2,15
OD00829,O0267,P004,3,0
OD00830,O0268,P024,1,10
OD00831,O0269,P031,4,10
OD00832,O0270,P020,4,5
OD00833,O0271,P036,4,5
OD00834,O0271,P043,1,20
OD00835,O0271,P037,5,0
OD00836,O0271,P028,2,15
OD00837,O0271,P020,1,10
OD00838,O0272,P023,5,10
OD00839,O0272,P026,2,0
OD00840,O0273,P009,3,10
OD00841,O0273,P003,5,5
OD00842,O0273,P024,2,20
OD00843,O0273,P026,3,5
OD00844,O0273,P045,2,15
OD00845,O0274,P008,3,15
OD00846,O0275,P026,2,5
OD00847,O0275,P040,4,10
OD00848,O0275,P043,3,20
OD00849,O0275,P002,5,15
OD00850,O0275,P014,5,10
OD00851,O0276,P044,3,5
OD00852,O0276,P042,4,15
OD00853,O0276,P050,1,0
OD00854,O0277,P008,5,20
OD00855,O0277,P006,1,0
OD00856,O0278,P021,3,0
OD00857,O0278,P031,4,15
OD00858,O0279,P046,2,0
OD00859,O0279,P011,2,20
OD00860,O0280,P008,2,0
OD00861,O0280,P045,5,0
OD00862,O0280,P027,3,5
OD00863,O0280,P018,2,10
OD00864,O0281,P047,4,10
OD00865,O0281,P029,1,5
OD00866,O0282,P002,2,10
OD00867,O0282,P006,2,0
OD00868,O0282,P023,3,10
OD00869,O0283,P016,5,20
OD00870,O0283,P018,2,0
OD00871,O0284,P050,5,10
