OrderID,CustomerID,OrderDate,PaymentMode,Region
O0202,C275,2024-04-19,Credit Card,North
O0203,C316,2023-02-06,Cash,North
O0204,C197,2024-04-24,UPI,West
O0205,C450,2023-05-21,UPI,South
O0206,C365,2024-05-28,Debit Card,West
O0207,C484,2024-01-09,UPI,East
O0208,C062,2023-10-27,Net Banking,South
O0209,C397,2023-05-05,Debit Card,West
O0210,C131,2023-03-28,UPI,West
O0211,C427,2024-10-07,UPI,East
O0212,C288,2023-12-24,UPI,North
O0213,C193,2023-11-11,Credit Card,North
O0214,C110,2024-09-21,Cash,South
O0215,C345,2024-02-28,Cash,East
O0216,C116,2023-07-17,UPI,North
O0217,C415,2023-01-14,Net Banking,South
O0218,C034,2024-04-02,Debit Card,South
O0219,C169,2024-03-05,Credit Card,North
O0220,C011,2024-12-10,Cash,North
O0221,C296,2024-03-04,Debit Card,East
O0222,C227,2023-04-19,Credit Card,North
O0223,C498,2024-10-21,Cash,North
O0224,C030,2023-02-03,Credit Card,South
O0225,C296,2024-05-11,Net Banking,East
O0226,C095,2023-06-26,Net Banking,North
O0227,C240,2024-08-27,Net Banking,East
O0228,C017,2023-04-22,Debit Card,South
O0229,C172,2023-12-17,Credit Card,North
O0230,C159,2024-03-21,Net Banking,South
O0231,C061,2023-01-07,Debit Card,North
O0232,C264,2023-07-02,Net Banking,South
O0233,C105,2024-01-01,Debit Card,North
O0234,C131,2024-04-10,Credit Card,West
O0235,C112,2024-05-15,Net Banking,South
O0236,C383,2024-07-06,Debit Card,West
O0237,C097,2024-08-08,UPI,North
O0238,C438,2023-10-24,UPI,East
O0239,C192,2024-09-20,Credit Card,North
O0240,C356,2023-09-02,Cash,North
O0241,C321,2023-02-24,Debit Card,South
O0242,C377,2023-09-11,Credit Card,North
O0243,C461,2023-02-22,Debit Card,North
O0244,C449,2024-01-06,Debit Card,South
O0245,C259,2023-04-08,Credit Card,West
O0246,C284,2023-10-16,Credit Card,West
O0247,C302,2023-05-02,Cash,North
O0248,C498,2024-12-03,Net Banking,North
O0249,C241,2024-10-18,Cash,South
O0250,C139,2023-03-27,Net Banking,East
O0251,C321,2023-02-22,Cash,South
O0252,C312,2024-05-03,Debit Card,West
O0253,C345,2024-11-04,Net Banking,East
O0254,C048,2024-06-18,Debit Card,West
O0255,C300,2024-07-13,Cash,South
O0256,C389,2023-02-16,Credit Card,South
O0257,C046,2023-09-13,Credit Card,North
O0258,C113,2023-02-19,UPI,West
O0259,C438,2023-07-08,UPI,East
O0260,C111,2023-03-02,Net Banking,West
O0261,C081,2023-07-07,UPI,South
O0262,C363,2024-01-01,Debit Card,East
O0263,C481,2024-01-13,Credit Card,South
O0264,C238,2024-12-11,Debit Card,West
O0265,C143,2024-07-11,UPI,South
O0266,C376,2024-09-06,UPI,North
O0267,C325,2023-10-21,Credit Card,South
O0268,C036,2023-09-16,Cash,West
O0269,C458,2023-02-20,Net Banking,South
O0270,C173,2024-04-05,Debit Card,East
O0271,C228,2023-01-18,Credit Card,North
O0272,C494,2023-01-18,Cash,West
O0273,C013,2023-05-25,Cash,North
O0274,C395,2024-01-16,Credit Card,South
O0275,C191,2023-04-01,Debit Card,West
O0276,C212,2024-09-28,Credit Card,North
O0277,C132,2024-01-23,Net Banking,North
O0278,C335,2023-06-10,UPI,North
O0279,C296,2024-01-25,UPI,East
O0280,C292,2024-02-16,Credit Card,North
O0281,C243,2023-09-17,Cash,West
O0282,C447,2023-03-25,UPI,South
O0283,C305,2023-01-09,Net Banking,South
O0284,C455,2023-03-25,UPI,North
O0285,C231,2024-05-23,Debit Card,North
O0286,C343,2023-04-26,Cash,South
O0287,C099,2024-02-22,Debit Card,West
O0288,C209,2023-12-19,Debit Card,West
O0289,C419,2024-04-26,Debit Card,North
O0290,C279,2023-09-22,Credit Card,East
O0291,C491,2024-01-18,Net Banking,South
O0292,C122,2023-12-17,Net Banking,East
O0293,C190,2024-12-16,Credit Card,North
O0294,C420,2024-08-16,Net Banking,South
O0295,C375,2024-11-05,UPI,North
O0296,C208,2023-04-19,UPI,North
O0297,C198,2023-08-07,UPI,West
O0298,C387,2023-08-15,Cash,North
O0299,C298,2023-05-06,Credit Card,North
O0300,C312,2023-08-12,Debit Card,West
O0301,C204,2024-01-13,UPI,East
O0302,C237,2023-12-28,Net Banking,South
O0303,C156,2024-05-26,UPI,North
O0304,C463,2024-10-10,Debit Card,West
O0305,C131,2023-06-10,Debit Card,West
O0306,C183,2024-01-18,Net Banking,North
O0307,C030,2023-12-09,Net Banking,South
O0308,C088,2024-11-16,Credit Card,North
O0309,C260,2024-03-07,UPI,North
O0310,C010,2023-04-24,Cash,South
O0311,C322,2024-11-04,Cash,South
O0312,C111,2023-11-06,Debit Card,West
O0313,C298,2024-04-24,Net Banking,North
O0314,C264,2024-11-04,Debit Card,South
O0315,C190,2023-04-02,Net Banking,North
O0316,C049,2023-06-09,Debit Card,South
O0317,C016,2024-04-19,Net Banking,North
O0318,C026,2023-07-01,Net Banking,South
O0319,C170,2023-04-12,Net Banking,South
O0320,C281,2023-07-14,Credit Card,South
O0321,C288,2024-06-10,Credit Card,North
O0322,C001,2023-09-11,Cash,West
O0323,C005,2024-06-15,Net Banking,West
O0324,C082,2023-08-06,UPI,West
O0325,C280,2024-09-04,Credit Card,North
O0326,C168,2023-12-16,Cash,West
O0327,C153,2024-05-25,UPI,West
O0328,C036,2023-12-13,Credit Card,West
O0329,C258,2023-11-20,UPI,South
O0330,C349,2023-09-06,Debit Card,North
O0331,C446,2023-07-14,Net Banking,North
O0332,C255,2023-03-22,Cash,West
O0333,C090,2024-08-18,Cash,South
O0334,C229,2023-12-25,Cash,North
O0335,C456,2024-10-17,UPI,South
O0336,C202,2023-08-08,Debit Card,West
O0337,C327,2023-01-06,Cash,West
O0338,C446,2024-03-12,Credit Card,North
O0339,C138,2023-07-22,UPI,South
O0340,C048,2024-10-26,Net Banking,West
O0341,C308,2023-12-25,Debit Card,South
O0342,C249,2023-10-26,Credit Card,West
O0343,C208,2024-03-09,Debit Card,North
O0344,C397,2024-02-03,Net Banking,West
O0345,C348,2024-04-11,Credit Card,West
O0346,C088,2024-04-18,Cash,North
O0347,C251,2024-04-16,Net Banking,North
O0348,C344,2024-01-04,UPI,North
O0349,C260,2023-12-18,Net Banking,North
O0350,C295,2024-02-19,Credit Card,South
O0351,C432,2023-08-21,Net Banking,West
O0352,C094,2024-09-18,Debit Card,North
O0353,C445,2023-05-21,Cash,South
O0354,C227,2023-12-25,Net Banking,North
O0355,C410,2024-12-25,Debit Card,West
O0356,C158,2024-08-05,Cash,West
O0357,C362,2024-04-25,Credit Card,North
O0358,C259,2023-02-12,UPI,West
O0359,C470,2023-02-26,Credit Card,North
O0360,C360,2023-11-14,Credit Card,South
O0361,C409,2023-10-04,Cash,East
O0362,C497,2023-08-02,Net Banking,North
O0363,C348,2023-12-07,Debit Card,West
O0364,C198,2024-12-28,Credit Card,West
O0365,C477,2023-11-23,Net Banking,West
O0366,C020,2024-11-24,Cash,West
O0367,C144,2023-07-06,Credit Card,South
O0368,C285,2024-04-13,Credit Card,South
O0369,C288,2024-04-16,Net Banking,North
O0370,C420,2023-05-25,Credit Card,South
O0371,C280,2024-05-12,Net Banking,North
O0372,C420,2023-09-04,Cash,South
O0373,C213,2023-09-15,UPI,North
O0374,C338,2023-12-24,UPI,South
O0375,C200,2024-05-27,Net Banking,South
O0376,C298,2024-09-25,Net Banking,North
O0377,C198,2023-01-12,Net Banking,West
O0378,C373,2023-09-24,Debit Card,South
O0379,C008,2023-06-08,Cash,West
O0380,C167,2023-03-02,Cash,North
O0381,C405,2024-04-15,Cash,North
O0382,C274,2024-01-14,Credit Card,North
O0383,C244,2024-07-18,Net Banking,West
O0384,C213,2023-10-04,Credit Card,North
O0385,C062,2024-10-15,Cash,South
O0386,C481,2024-09-11,Cash,South
O0387,C378,2024-03-12,Debit Card,East
O0388,C314,2023-05-01,Credit Card,North
O0389,C444,2024-02-07,Credit Card,West
O0390,C420,2023-03-10,Cash,South
O0391,C012,2024-02-06,Credit Card,West
O0392,C437,2024-06-18,Debit Card,North
O0393,C306,2024-04-16,Credit Card,East
O0394,C404,2024-03-23,Cash,South
O0395,C394,2024-03-03,UPI,North
O0396,C216,2024-05-04,Cash,North
O0397,C244,2023-02-18,Credit Card,West
O0398,C366,2023-09-18,Cash,South
O0399,C023,2024-09-24,UPI,West
O0400,C261,2024-09-11,Debit Card,West
O0401,C171,2023-02-17,Net Banking,East
O0402,C470,2023-05-22,UPI,North
O0403,C008,2023-11-02,Credit Card,West
O0404,C355,2024-06-14,Debit Card,West
O0405,C234,2024-11-15,UPI,East
O0406,C076,2024-03-27,Net Banking,East
O0407,C414,2024-06-21,Credit Card,North
O0408,C335,2024-04-28,Credit Card,North
O0409,C088,2024-10-08,Cash,North
O0410,C039,2024-08-12,Cash,West
O0411,C081,2023-05-12,Net Banking,South
O0412,C383,2024-01-09,Net Banking,West
O0413,C301,2024-12-03,UPI,West
O0414,C206,2023-10-03,Debit Card,West
O0415,C457,2024-10-23,Debit Card,North
O0416,C277,2024-03-14,Cash,South
O0417,C096,2024-09-23,Cash,South
O0418,C226,2024-03-06,UPI,East
O0419,C068,2023-04-22,Credit Card,West
O0420,C419,2023-07-27,UPI,North
O0421,C259,2023-08-11,Cash,West
O0422,C326,2023-03-05,UPI,South
O0423,C233,2024-05-26,Debit Card,South
O0424,C290,2023-12-19,Credit Card,South
O0425,C276,2023-03-25,UPI,South
O0426,C036,2024-10-15,Cash,West
O0427,C391,2023-12-04,Net Banking,West
O0428,C027,2023-03-01,Cash,West
O0429,C276,2024-06-09,Cash,South
O0430,C302,2024-01-01,Credit Card,North
O0431,C443,2023-12-23,Debit Card,North
O0432,C051,2024-07-05,Credit Card,East
O0433,C387,2024-11-28,Debit Card,North
O0434,C262,2024-10-25,Net Banking,West
O0435,C439,2024-01-21,Credit Card,North
O0436,C413,2024-09-15,Net Banking,West
O0437,C148,2024-01-16,Debit Card,West
O0438,C489,2024-04-26,Net Banking,West
O0439,C175,2023-08-19,Cash,North
O0440,C387,2024-08-28,Cash,North
O0441,C059,2024-01-28,Cash,West
O0442,C353,2024-11-22,Debit Card,South
O0443,C047,2024-05-04,Credit Card,South
O0444,C050,2023-07-11,Debit Card,South
O0445,C410,2024-05-04,Net Banking,West
O0446,C209,2024-02-08,Net Banking,West
O0447,C371,2023-12-08,Credit Card,South
O0448,C071,2024-09-21,Net Banking,South
O0449,C223,2024-01-09,Net Banking,South
O0450,C456,2024-07-13,Credit Card,South
O0451,C261,2023-08-25,Net Banking,West
O0452,C494,2024-07-14,Credit Card,West
O0453,C485,2023-03-15,Credit Card,North
O0454,C473,2023-06-05,UPI,North
O0455,C330,2023-10-01,Cash,South
O0456,C065,2024-04-12,Credit Card,West
O0457,C119,2024-03-25,UPI,South
O0458,C472,2024-02-25,Credit Card,West
O0459,C484,2024-11-03,Credit Card,East
O0460,C035,2023-10-09,UPI,West
O0461,C400,2023-09-09,Credit Card,East
O0462,C338,2024-03-19,Debit Card,South
O0463,C405,2024-08-14,Net Banking,North
O0464,C081,2023-02-07,Net Banking,South
O0465,C174,2023-09-14,Credit Card,North
O0466,C217,2023-06-22,Debit Card,North
O0467,C313,2024-08-05,Cash,South
O0468,C124,2024-10-09,UPI,West
O0469,C410,2024-04-11,Credit Card,West
O0470,C222,2024-05-23,UPI,North
O0471,C050,2024-06-19,Credit Card,South
O0472,C013,2023-08-10,Net Banking,North
O0473,C314,2024-02-21,UPI,North
O0474,C302,2023-03-28,Debit Card,North
O0475,C047,2024-12-25,Credit Card,South
O0476,C013,2024-02-26,Debit Card,North
O0477,C203,2023-10-01,Cash,South
O0478,C129,2024-11-02,Credit Card,North
O0479,C316,2024-03-12,Cash,North
O0480,C470,2023-02-02,UPI,North
O0481,C486,2023-10-06,UPI,South
O0482,C331,2024-12-19,Net Banking,South
O0483,C226,2024-11-19,Cash,East
O0484,C259,2024-12-02,Net Banking,West
O0485,C368,2024-10-17,Credit Card,North
O0486,C432,2024-02-28,UPI,West
O0487,C465,2024-11-13,Credit Card,West
O0488,C083,2023-09-28,Net Banking,South
O0489,C332,2024-04-07,Cash,West
O0490,C407,2024-12-10,Credit Card,South
O0491,C287,2023-02-02,Debit Card,West
O0492,C392,2023-01-28,Debit Card,West
O0493,C172,2023-02-07,Credit Card,North
O0494,C451,2023-09-27,Debit Card,South
O0495,C271,2023-07-11,Credit Card,North
O0496,C481,2024-03-13,UPI,South
O0497,C051,2023-09-16,Debit Card,East
O0498,C342,2023-02-14,Net Banking,South
O0499,C128,2023-02-05,Credit Card,West
O0500,C463,2023-09-04,Debit Card,West
O0501,C363,2023-10-10,Debit Card,East
O0502,C087,2023-08-19,Credit Card,North
O0503,C239,2024-01-24,Credit Card,South
O0504,C338,2023-09-27,Cash,South
O0505,C386,2023-12-25,UPI,North
O0506,C215,2024-07-23,Debit Card,West
O0507,C106,2023-01-16,UPI,South
O0508,C426,2024-06-07,Debit Card,East
O0509,C084,2024-07-02,Net Banking,East
O0510,C081,2024-04-20,UPI,South
O0511,C275,2023-01-22,Cash,North
O0512,C218,2023-04-03,Cash,North
O0513,C006,2024-06-10,Cash,South
O0514,C003,2024-10-22,Cash,West
O0515,C040,2024-10-27,Net Banking,North
O0516,C368,2023-04-27,Net Banking,North
O0517,C201,2023-04-17,UPI,South
O0518,C201,2024-12-27,Net Banking,South
O0519,C491,2023-07-21,Net Banking,South
O0520,C216,2023-12-14,Debit Card,North
O0521,C144,2024-03-05,UPI,South
O0522,C493,2024-04-10,UPI,West
O0523,C029,2024-03-03,Cash,East
O0524,C108,2023-10-01,Net Banking,West
O0525,C105,2024-02-16,Debit Card,North
O0526,C074,2024-05-27,Net Banking,West
O0527,C244,2023-08-06,Debit Card,West
O0528,C427,2023-09-08,Net Banking,East
O0529,C361,2024-01-07,Credit Card,North
O0530,C101,2024-07-13,Credit Card,North
O0531,C474,2024-09-24,Cash,North
O0532,C389,2023-01-01,Debit Card,South
O0533,C203,2024-04-24,UPI,South
O0534,C139,2024-01-13,Net Banking,East
O0535,C415,2024-08-22,Credit Card,South
O0536,C118,2024-06-20,Net Banking,North
O0537,C035,2023-09-26,Debit Card,West
O0538,C396,2023-01-11,Credit Card,North
O0539,C316,2023-04-15,Credit Card,North
O0540,C095,2024-06-27,Cash,North
O0541,C460,2023-08-11,UPI,North
O0542,C445,2024-08-27,Net Banking,South
O0543,C204,2024-07-15,Credit Card,East
O0544,C346,2023-01-15,UPI,North
O0545,C385,2023-02-25,Net Banking,West
O0546,C368,2023-09-05,Debit Card,North
O0547,C231,2024-08-02,Debit Card,North
O0548,C338,2023-04-16,UPI,South
O0549,C264,2024-10-25,Cash,South
O0550,C124,2023-03-20,Net Banking,West
O0551,C494,2023-02-11,Debit Card,West
O0552,C035,2023-05-16,Credit Card,West
O0553,C197,2024-07-19,Credit Card,West
O0554,C485,2024-08-04,Cash,North
O0555,C276,2023-09-22,Credit Card,South
O0556,C247,2024-10-07,UPI,West
O0557,C091,2023-07-26,UPI,West
O0558,C243,2024-12-04,Cash,West
O0559,C458,2024-11-06,Cash,South
O0560,C144,2024-12-23,UPI,South
O0561,C007,2024-04-23,Debit Card,North
O0562,C233,2023-12-06,Cash,South
O0563,C382,2024-01-23,Debit Card,South
O0564,C084,2023-08-04,Credit Card,East
O0565,C054,2024-09-20,Net Banking,North
O0566,C015,2024-08-28,Net Banking,North
O0567,C185,2023-11-03,Credit Card,South
O0568,C175,2023-04-02,Net Banking,North
O0569,C017,2023-11-26,Cash,South
O0570,C400,2023-06-08,Debit Card,East
O0571,C430,2023-03-13,Debit Card,North
O0572,C023,2023-02-11,Credit Card,West
O0573,C375,2023-12-10,Cash,North
O0574,C345,2024-10-22,UPI,East
O0575,C146,2024-07-20,Net Banking,North
O0576,C128,2023-03-27,Credit Card,West
O0577,C459,2023-11-16,Cash,East
O0578,C151,2023-02-13,Net Banking,North
O0579,C395,2023-12-23,Cash,South
O0580,C223,2023-06-10,UPI,South
O0581,C107,2024-10-11,Credit Card,North
O0582,C088,2024-08-07,UPI,North
O0583,C063,2023-04-17,Credit Card,North
O0584,C414,2024-03-14,Debit Card,North
O0585,C120,2024-12-02,Cash,South
O0586,C073,2023-05-27,UPI,North
O0587,C463,2023-02-01,Cash,West
O0588,C491,2024-08-17,Debit Card,South
O0589,C265,2024-02-12,UPI,South
O0590,C295,2024-02-28,Cash,South
O0591,C206,2023-12-13,Debit Card,West
O0592,C007,2024-04-20,Credit Card,North
O0593,C154,2024-01-04,UPI,South
O0594,C180,2024-01-20,UPI,North
O0595,C251,2024-09-27,Cash,North
O0596,C424,2023-08-02,Cash,South
O0597,C446,2023-04-23,Cash,North
O0598,C162,2023-06-07,Credit Card,East
O0599,C167,2024-08-17,Cash,North
O0600,C465,2024-10-06,Credit Card,West
O0601,C335,2023-06-26,Credit Card,North
O0602,C187,2024-07-03,Credit Card,West
O0603,C231,2023-04-06,Net Banking,North
O0604,C421,2023-02-03,Cash,South
O0605,C458,2024-05-10,Cash,South
O0606,C149,2024-04-15,Cash,West
O0607,C111,2023-06-27,Credit Card,West
O0608,C054,2023-01-10,Debit Card,North
O0609,C365,2024-02-05,Net Banking,West
O0610,C177,2024-05-03,Debit Card,South
O0611,C144,2024-06-16,Credit Card,South
O0612,C093,2024-12-05,Net Banking,West
O0613,C459,2024-07-07,UPI,East
O0614,C164,2023-10-06,Debit Card,South
O0615,C223,2024-04-17,Credit Card,South
O0616,C495,2024-01-19,UPI,South
O0617,C256,2024-07-24,Cash,West
O0618,C301,2024-12-09,Cash,West
O0619,C228,2023-07-06,Net Banking,North
O0620,C280,2024-05-01,Debit Card,North
O0621,C104,2023-09-09,Net Banking,North
O0622,C110,2023-01-05,UPI,South
O0623,C128,2024-05-21,Debit Card,West
O0624,C485,2023-06-26,Debit Card,North
O0625,C171,2024-05-27,Cash,East
O0626,C329,2024-01-26,Net Banking,North
O0627,C388,2024-12-25,Net Banking,South
O0628,C377,2024-12-12,Debit Card,North
O0629,C498,2023-07-12,UPI,North
O0630,C123,2024-12-08,Debit Card,West
O0631,C025,2023-01-05,UPI,West
O0632,C333,2024-08-19,Credit Card,East
O0633,C461,2024-12-23,UPI,North
O0634,C250,2024-03-05,Net Banking,South
O0635,C117,2024-03-16,Debit Card,South
O0636,C032,2023-12-24,Debit Card,North
O0637,C249,2023-01-10,Credit Card,West
O0638,C284,2023-09-02,Net Banking,West
O0639,C365,2023-08-24,Credit Card,West
O0640,C079,2023-05-03,Net Banking,North
O0641,C473,2024-05-18,UPI,North
O0642,C195,2024-04-06,UPI,West
O0643,C418,2023-03-14,UPI,West
O0644,C322,2024-11-08,Debit Card,South
O0645,C108,2024-12-13,Credit Card,West
O0646,C155,2023-08-19,Net Banking,South
O0647,C087,2024-08-01,Net Banking,North
O0648,C244,2024-10-12,Cash,West
O0649,C176,2024-08-01,Cash,South
O0650,C317,2024-05-18,Credit Card,West
O0651,C061,2023-04-04,Debit Card,North
O0652,C142,2024-02-12,Debit Card,West
O0653,C094,2023-07-02,Debit Card,North
O0654,C109,2024-03-27,UPI,South
O0655,C080,2024-09-15,Net Banking,West
O0656,C472,2023-05-26,Debit Card,West
O0657,C243,2023-03-13,Cash,West
